Entry	Gene Names	Mouse_Symbol
F6V0L2	Alpk1	Alpk1
I3PQW7	Alpk1	Alpk1
Q91ZB0	Alpk2 Hak	Alpk2
A0A494BAB8	Alpk2	Alpk2
Q3U323	F730048M01Rik Alpk2	Alpk2
Q924C5	Alpk3 Kiaa1330	Alpk3
Q8K592	Amhr2	Amhr2
A0A2R8W6H9	Amhr2	Amhr2
F6V9X7	Amhr2	Amhr2
A0A2R8VHE2	Amhr2	Amhr2
R4JNM3	Amhr2	Amhr2
R4JKA2	Amhr2	Amhr2
Q8BZ25	Ankk1	Ankk1
A0A1L1SS17	Ankk1	Ankk1
B7ZN83	Ankk1	Ankk1
P04627	Araf A-raf Araf1	Araf
E9Q0P8	Araf	Araf
B1AUN8	Araf	Araf
Q3TQI2	Araf	Araf
Q3UXR0	Araf	Araf
B1AUP0	Araf	Araf
Q8CAD1	Araf	Araf
Q66JX2	Araf	Araf
Q62388	Atm	Atm
Q6NX74	Atm	Atm
B9EHX4	Atm	Atm
F6UXV2	Atm	Atm
D3Z0Q2	Atm	Atm
Q3UT15	Atm	Atm
Q9CZ52	Antxr1 Atr Tem8	Atr
Q9JKK8	Atr Kiaa4069	Atr
A0A1L1SSL9	Atr	Atr
E9QPK4	Atr	Atr
Q3UXJ0	Atr	Atr
Q3TZM5	Atr	Atr
Q3UR12	Atr	Atr
Q3TRL7	Atr	Atr
P97477	Aurka Aik Airk1 Ark1 Aura Ayk1 Btak Iak1 Stk15 Stk6	Aurka
Q3TEY6	Aurka	Aurka
Q7TNK2	Aurka	Aurka
Q8BP87	Aurka Stk6	Aurka
O70126	Aurkb Aik2 Aim1 Airk2 Ark2 Stk1 Stk12 Stk5	Aurkb
O88445	Aurkc Aie1 Aik3 Airk3 Ark3 Stk13	Aurkc
E9QL04	Aurkc	Aurkc
A0A140LIP1	Aurkc	Aurkc
A0A140LJ30	Aurkc	Aurkc
Q497X5	Aurkc	Aurkc
Q00993	Axl Ark Ufo	Axl
Q6PE80	Axl	Axl
Q3TTM4	Axl	Axl
Q8CCF8	Axl	Axl
F6YPR4	Axl	Axl
O55028	Bckdk	Bckdk
Q3UCB5	Bckdk	Bckdk
Q3UC13	Bckdk	Bckdk
Q8C6H9	Bckdk	Bckdk
A0A0U1RNL7	Bckdk	Bckdk
A0A0U1RQ50	Bckdk	Bckdk
D3Z7R0	Bckdk	Bckdk
A0A0U1RPT4	Bckdk	Bckdk
A0A0U1RQ97	Bckdk	Bckdk
Q99KP1	Bckdk	Bckdk
Q6PAJ1	Bcr Kiaa3017	Bcr
A2RRK7	Bcr	Bcr
Q61223	BCR gene	Bcr
A0A1W2P6J3	Bcr	Bcr
A3KMF6	Slc2a13 Bcr	Bcr
A0A571BEM4	Bcr	Bcr
Q80UP7	Bcr	Bcr
A0A1W2P6I7	Bcr	Bcr
P16277	Blk	Blk
O70337	Bik Biklk Blk Nbk	Blk
Q3TAT8	Blk	Blk
Q91Z96	Bmp2k Bike	Bmp2k
Q3TP15	Bmp2k	Bmp2k
P36895	Bmpr1a Acvrlk3 Bmpr	Bmpr1a
Q53Z43	Bmpr1a	Bmpr1a
Q60607	Bmpr1a	Bmpr1a
Q3UP52	Bmpr1a	Bmpr1a
E9PW65	Bmpr1a	Bmpr1a
E9Q2G5	Bmpr1a	Bmpr1a
P36898	Bmpr1b Acvrlk6	Bmpr1b
B2RRZ4	Bmpr1b	Bmpr1b
Q3USS1	Bmpr1b	Bmpr1b
D6RET5	Bmpr1b	Bmpr1b
O35607	Bmpr2	Bmpr2
Q3UER5	Bmpr2	Bmpr2
Q3UG09	Bmpr2	Bmpr2
Q3UU71	Bmpr2	Bmpr2
P97504	Bmx	Bmx
B1AUL6	Bmx	Bmx
B1AUL5	Bmx	Bmx
Q8BNW5	Bmx	Bmx
P28028	Braf B-raf	Braf
A0A7N4FLU7	Braf	Braf
Q9JJU6	Braf B-raf	Braf
Q9JJU4	Braf B-raf	Braf
Q9JJU5	Braf B-raf	Braf
Q5RJI5	Brsk1 Gm1100 Sadb	Brsk1
D3Z5P0	Brsk1	Brsk1
A0A0U1RP43	Brsk1	Brsk1
Q69Z98	Brsk2 Kiaa4256 Sada	Brsk2
G3UWV4	Brsk2	Brsk2
G3FEZ6	Brsk2	Brsk2
G3UXM5	Brsk2	Brsk2
G3UZ19	Brsk2	Brsk2
G3UZ00	Brsk2	Brsk2
G3UYP7	Brsk2	Brsk2
G3UYN4	Brsk2	Brsk2
G3UXY1	Brsk2	Brsk2
G3UZN4	Brsk2	Brsk2
G5E921	Brsk2	Brsk2
P35991	Btk Bpk	Btk
Q7TMU1	Btk	Btk
A2BDW0	Btk	Btk
O08901	Bub1	Bub1
A0A8I4YXJ8	Bub1	Bub1
A2APR8	Bub1	Bub1
Q8K1K8	Bub1	Bub1
Q8C4D0	Bub1	Bub1
Q9CS10	Bub1	Bub1
Q9Z1S0	Bub1b Mad3l	Bub1b
Q8K2E5	Bub1b	Bub1b
Q3UZD6	Bub1b	Bub1b
Q8C2J4	Bub1b	Bub1b
Q91YS8	Camk1	Camk1
Q3UY68	Camk1	Camk1
Q8BJA6	Camk1	Camk1
Q3TDH8	Camk1	Camk1
D3Z368	Camk1	Camk1
Q8BW96	Camk1d	Camk1d
B1AW58	Camk1d	Camk1d
Q3TDM2	Camk1d	Camk1d
Q3UH04	Camk1d	Camk1d
Q8R193	Camk1d	Camk1d
Q91VB2	Camk1g	Camk1g
E9Q679	Camk1g	Camk1g
F6YRI7	Camk1g	Camk1g
P11798	Camk2a	Camk2a
F8WIS9	Camk2a	Camk2a
Q80TN1	Camk2a mKIAA0968	Camk2a
F6WHR9	Camk2a	Camk2a
D3Z7K9	Camk2a	Camk2a
F8WHB5	Camk2a	Camk2a
P28652	Camk2b Camk2d	Camk2b
Q5SVI2	Camk2b	Camk2b
Q5SVJ1	Camk2b	Camk2b
Q5SVI0	Camk2b	Camk2b
Q5SVI1	Camk2b	Camk2b
Q68EG2	Camk2b	Camk2b
Q5SVJ0	Camk2b	Camk2b
Q3TY93	Camk2b	Camk2b
Q5SVI3	Camk2b	Camk2b
Q8BL41	Camk2b	Camk2b
Q5SVI9	Camk2b	Camk2b
Q9WVJ1	Camk2b	Camk2b
Q8K4W5	Camk2b	Camk2b
Q8K4W4	Camk2b	Camk2b
P28652	Camk2b Camk2d	Camk2d
Q6PHZ2	Camk2d Kiaa4163	Camk2d
A0A0G2JGS4	Camk2d	Camk2d
E9Q1V9	Camk2d	Camk2d
E9Q1T1	Camk2d	Camk2d
E9Q1W0	Camk2d	Camk2d
Q8CCM0	Camk2d	Camk2d
D6RDQ8	Camk2d	Camk2d
F6RWZ9	Camk2d	Camk2d
Q3V1X9	Camk2d	Camk2d
Q8C4I3	Camk2d	Camk2d
E9QAJ4	Camk2d	Camk2d
E9PXV3	Camk2d	Camk2d
O70459	Camk2d	Camk2d
Q8C8X9	Camk2d	Camk2d
Q923T9	Camk2g	Camk2g
A0A2I3BQP6	Camk2g	Camk2g
Q6ZWS7	Camk2g	Camk2g
A0A286YDK9	Camk2g	Camk2g
Q8BW40	Camk2g	Camk2g
A0A286YCB8	Camk2g	Camk2g
A0A286YCH4	Camk2g	Camk2g
A0A286YCW8	Camk2g	Camk2g
A0A286YDL6	Camk2g	Camk2g
A0A286YCI7	Camk2g	Camk2g
P08414	Camk4	Camk4
Q8BGR3	Camk4	Camk4
A0A3Q4EG96	Camk4	Camk4
Q8VBY2	Camkk1 Camkk	Camkk1
B1AUD3	Camkk1	Camkk1
Q8C078	Camkk2 Kiaa0787	Camkk2
A0A0G2JGX0	Camkk2	Camkk2
A0A0G2JET2	Camkk2	Camkk2
Q3TV45	Camkk2	Camkk2
A0A0G2JEC5	Camkk2	Camkk2
A0A0G2JEF4	Camkk2	Camkk2
A0A0G2JFG5	Camkk2	Camkk2
Q3UHL1	Camkv	Camkv
A0A0A6YW88	Camkv	Camkv
A0A0A6YW08	Camkv	Camkv
A0A0A6YXI7	Camkv	Camkv
O70589	Cask Lin-2	Cask
B7ZP42	Cask	Cask
A0A067XG53	Cask	Cask
B9EJ23	Cask	Cask
B1AUH6	Cask	Cask
F6ZQR2	Cask	Cask
B1AUH5	Cask	Cask
Q91VJ0	Cask	Cask
F6Y9I5	Cask	Cask
Q3TNZ0	Cask	Cask
F7CD87	Cask	Cask
Q3UU96	Cdc42bpa Kiaa0451	Cdc42bpa
E9PVY0	Cdc42bpa	Cdc42bpa
H7BX44	Cdc42bpa	Cdc42bpa
B2RXX8	Cdc42bpa	Cdc42bpa
D3YYN8	Cdc42bpa	Cdc42bpa
A0A1D5RLQ9	Cdc42bpa	Cdc42bpa
F6W0C2	Cdc42bpa	Cdc42bpa
F6S5Z6	Cdc42bpa	Cdc42bpa
F6YZJ7	Cdc42bpa	Cdc42bpa
F6Q5A5	Cdc42bpa	Cdc42bpa
Q3TSA3	Cdc42bpa	Cdc42bpa
A0A0A6YXJ5	Cdc42bpa	Cdc42bpa
Q7TT50	Cdc42bpb Kiaa1124	Cdc42bpb
B2RQQ7	Cdc42bpb	Cdc42bpb
A0A1Y7VKD5	Cdc42bpb	Cdc42bpb
A0A1Y7VM95	Cdc42bpb	Cdc42bpb
A0A1Y7VLI0	Cdc42bpb	Cdc42bpb
Q80UW5	Cdc42bpg	Cdc42bpg
Q3V0F4	Cdc42bpg	Cdc42bpg
Q9Z0H0	Cdc7 Cdc7l1	Cdc7
Q66JY4	Cdc7	Cdc7
Q9Z2Y5	Cdc7 muCdc7	Cdc7
Q9Z2Y6	Cdc7 muCdc7	Cdc7
G3UVV7	Cdc7	Cdc7
Q9CSF4	Cdc7 Nr2c2	Cdc7
Q3TQ50	Cdc7	Cdc7
P11440	Cdk1 Cdc2 Cdc2a Cdkn1	Cdk1
D3Z2T9	Cdk1	Cdk1
Q99JW7	Cdk1 Cdc2a	Cdk1
Q3UMM4	Cdk10	Cdk10
Q0VH02	Cdk10	Cdk10
A0A1D5RLN0	Cdk10	Cdk10
A0A1D5RLN1	Cdk10	Cdk10
A0A1D5RLY3	Cdk10	Cdk10
A0A1D5RM75	Cdk10	Cdk10
P24788	Cdk11b Cdc2l1 Cdk11	Cdk11b
A2A9P6	Cdk11b	Cdk11b
Q8R190	Cdk11b Cdc2l1	Cdk11b
Q9CVG6	Cdk11b Cdc2l1	Cdk11b
Q3UXP3	Cdk11b Cdc2l1	Cdk11b
Q14AX6	Cdk12 Crk7 Crkrs Kiaa0904	Cdk12
Q3TNY6	Cdk12 Crk7 Crkrs	Cdk12
Q9CVL4	Cdk12 Crk7 Crkrs	Cdk12
Q69ZA1	Cdk13 Cdc2l5 Kiaa1791	Cdk13
A0A1Y7VLM0	Cdk13	Cdk13
Q8BJK2	Cdk13 Cdc2l5	Cdk13
Q3UF50	Cdk13 Cdc2l5	Cdk13
A0A1Y7VNQ1	Cdk13	Cdk13
O35495	Cdk14 Kiaa0834 Pftk1	Cdk14
Q8BN81	Cdk14 Pftk1	Cdk14
Q8C411	Cdk14 Pftk1	Cdk14
Q8BFX6	Cdk14 Pftk1	Cdk14
Q6NVF8	Cdk14 Pftk1	Cdk14
E9PVC7	Cdk14	Cdk14
Q8BQ67	Cdk14 Pftk1	Cdk14
D3YV23	Cdk14	Cdk14
E9Q9M2	Cdk14	Cdk14
Q9D4N7	Cdk14 Pftk1	Cdk14
Q3V3A1	Cdk15 Als2cr7 Pftk2	Cdk15
E3W997	Cdk15	Cdk15
Q04735	Cdk16 Crk5 Pctaire1 Pctk1	Cdk16
Q543G3	Cdk16 Pctk1	Cdk16
Q3TM24	Cdk16 Pctk1	Cdk16
Q3UPI3	Cdk16 Pctk1	Cdk16
Q91WP4	Cdk16 Pctk1	Cdk16
Q8K0D0	Cdk17 Pctaire2 Pctk2	Cdk17
Q8C5H7	Cdk17 Pctk2	Cdk17
A0A1L1SUS7	Cdk17	Cdk17
I6L9D3	Cdk17 Pctk2	Cdk17
A0A1L1SR36	Cdk17	Cdk17
C7C6B5	Cdk17 Pctk2	Cdk17
C7C6B6	Cdk17 Pctk2	Cdk17
A0A1L1SSL3	Cdk17	Cdk17
A0A1L1SUA6	Cdk17	Cdk17
Q04899	Cdk18 Pctaire3 Pctk3	Cdk18
Q0VDL6	Cdk18 Pctk3	Cdk18
A0A087WQ42	Cdk18	Cdk18
Q0VDL5	Cdk18 Pctk3	Cdk18
Q8BWD8	Cdk19 Cdc2l6 Kiaa1028	Cdk19
B7ZMT1	Cdk19 Cdc2l6	Cdk19
Q8BKC7	Cdk19 Cdc2l6	Cdk19
G5E8L1	Cdk19	Cdk19
A0A1L1SRF1	Cdk19	Cdk19
Q8C0N8	Cdk19 Cdc2l6	Cdk19
Q8K2R6	Cdk19 Cdc2l6	Cdk19
A0A1L1SSW8	Cdk19	Cdk19
P97377	Cdk2 Cdkn2	Cdk2
Q3U6X7	Cdk2	Cdk2
Q3U307	Cdk2	Cdk2
Q3UGB9	Cdk2	Cdk2
Q9JHU3	Cdk20 Ccrk Cdch	Cdk20
A0A1Y7VNS6	Cdk20	Cdk20
A0A1Y7VIW8	Cdk20	Cdk20
A0A1Y7VKB8	Cdk20	Cdk20
A0A1Y7VJE1	Cdk20	Cdk20
A0A1Y7VJN2	Cdk20	Cdk20
Q80YP0	Cdk3 Cdk3-ps Cdkn3	Cdk3
P30285	Cdk4 Crk3	Cdk4
Q545C3	Cdk4	Cdk4
D3YWB0	Cdk4	Cdk4
E9Q9E4	Cdk4	Cdk4
D6RHS5	Cdk4	Cdk4
E9PZX7	Cdk4	Cdk4
Q9D193	Cdk4	Cdk4
Q8BP21	Cdk4	Cdk4
Q9CYR7	Cdk4	Cdk4
Q9JKW8	CDK4	Cdk4
Q9CSQ6	Cdk4	Cdk4
P49615	Cdk5 Cdkn5 Crk6 PSSALRE	Cdk5
Q543F6	Cdk5	Cdk5
A0A0G2JDL3	Cdk5	Cdk5
Q64261	Cdk6 Cdkn6 Crk2	Cdk6
Q0VBK8	Cdk6	Cdk6
Q3U4J9	Cdk6	Cdk6
A0A0G2JGA8	Cdk6	Cdk6
A0A0G2JEJ6	Cdk6	Cdk6
A0A0G2JGH2	Cdk6	Cdk6
Q03147	Cdk7 Cak Cdkn7 Crk4 Mo15 Mpk-7	Cdk7
A0A286YDC0	Cdk7	Cdk7
Q3THG5	Cdk7	Cdk7
Q8CAC4	Cdk7	Cdk7
Q3UJT4	Cdk7 Gm10746	Cdk7
Q8R3L8	Cdk8	Cdk8
E0CYC4	Cdk8	Cdk8
E9Q6E2	Cdk8	Cdk8
E0CY29	Cdk8	Cdk8
E0CZC3	Cdk8	Cdk8
Q5U427	Cdk8	Cdk8
Q99J95	Cdk9	Cdk9
B0R021	Cdk9	Cdk9
D6RGN3	Cdk9	Cdk9
D6RHP4	Cdk9	Cdk9
Q8CEQ0	Cdkl1	Cdkl1
Q14BG3	Cdkl1	Cdkl1
Q9QUK0	Cdkl2 Kkiamre Kkm	Cdkl2
Q149A0	Cdkl2	Cdkl2
A0A0J9YU22	Cdkl2	Cdkl2
Q8BLF2	Cdkl3	Cdkl3
B1AU42	Cdkl3	Cdkl3
B1AU43	Cdkl3	Cdkl3
F2Z3Z6	Cdkl3	Cdkl3
F6RUB4	Cdkl3	Cdkl3
A0A140LJ75	Cdkl3	Cdkl3
F6ULF3	Cdkl3	Cdkl3
F6RX76	Cdkl3	Cdkl3
F6Y3R0	Cdkl3	Cdkl3
F6RBI5	Cdkl3	Cdkl3
Q3TZA2	Cdkl4 Gm942	Cdkl4
Q3UTQ8	Cdkl5	Cdkl5
A0A0G2JGW6	Cdkl5	Cdkl5
A0A0G2JF79	Cdkl5	Cdkl5
A0A0G2JFE2	Cdkl5	Cdkl5
O35280	Chek1 Chk1	Chek1
Q497T8	Chek1	Chek1
G3UYC5	Chek1	Chek1
G3UX84	Chek1	Chek1
Q9Z265	Chek2 Chk2 Rad53	Chek2
Q543W6	Chek2	Chek2
A0A0G2JDS0	Chek2	Chek2
A0A0G2JDU5	Chek2	Chek2
A0A0G2JGG6	Chek2	Chek2
O54804	Chka Chk	Chka
Q99KD4	Chka	Chka
F6S062	Chka	Chka
Q3TLJ9	Chka	Chka
Q3TL82	Chka	Chka
D6RG40	Chka	Chka
F7AYX1	Chka	Chka
Q5J2U5	Chka	Chka
O55229	Chkb Chetk Chkl	Chkb
Q54AG5	Chkb Chetk-beta	Chkb
F6RRT7	Chkb	Chkb
F6SKI6	Chkb	Chkb
Q6NVC1	Chkb CK EK EK-beta	Chkb
Q60680	Chuk Ikka	Chuk
E9QNL4	Chuk	Chuk
E9Q605	Chuk	Chuk
Q3U2A3	Chuk	Chuk
Q3U2E5	Chuk	Chuk
Q8CBT3	Chuk	Chuk
Q3TPN9	Chuk	Chuk
Q3UDK0	Chuk	Chuk
A0AUV3	Chuk	Chuk
Q9JKV2	Cilk1 Ick	Cilk1
Q3U4K6	Cilk1 Ick	Cilk1
Q3UZZ3	Cilk1 Ick	Cilk1
Q3V314	Cilk1 Ick	Cilk1
Q69ZV0	Cilk1 Ick mKIAA0936	Cilk1
D3YZV1	Cilk1 Ick	Cilk1
Q9D7Q7	Cilk1 Ick	Cilk1
P49025	Cit Crik	Cit
D3YU89	Cit	Cit
E9QL53	Cit	Cit
D3Z1U0	Cit	Cit
F6SBR5	Cit	Cit
D3Z477	Cit	Cit
D3Z1K6	Cit	Cit
H3BJ74	Cit	Cit
P22518	Clk1 Clk Sty	Clk1
Q3UKA7	Clk1	Clk1
O35491	Clk2	Clk2
E9Q5Y1	Clk2	Clk2
Q91YR2	Clk2	Clk2
F8WHX0	Clk2	Clk2
Q3UFP4	Clk2	Clk2
A0ABA7IXA3	Clk2	Clk2
D3Z4P7	Clk2	Clk2
D6RG48	Clk2	Clk2
D3Z7L4	Clk2	Clk2
O35492	Clk3	Clk3
A0A8Z1S2G3	Clk3 mCG_9314	Clk3
A0A1L1SST3	Clk3	Clk3
A0A1L1SQZ6	Clk3	Clk3
Q9QXE3	Clk3 clk3	Clk3
A0A1L1SQT5	Clk3	Clk3
A0A1L1STP6	Clk3	Clk3
Q3UWB8	Clk3	Clk3
O35493	Clk4	Clk4
B0QZP9	Clk4	Clk4
Q4FJV9	Clk4	Clk4
F2Z3V2	Clk4	Clk4
O35611	Clk4	Clk4
D6RH46	Clk4	Clk4
Q60936	Coq8a Adck3 Cabc1	Coq8a
F7B1B6	Coq8a Adck3	Coq8a
A0A0A6YVT9	Coq8a Adck3	Coq8a
E0CXI5	Coq8a Adck3	Coq8a
E0CYG7	Coq8a Adck3	Coq8a
A0A0A6YXI0	Coq8a Adck3	Coq8a
E0CXR1	Coq8a Adck3	Coq8a
E0CXR6	Coq8a Adck3	Coq8a
E0CXT4	Coq8a Adck3	Coq8a
E0CYT4	Coq8a Adck3	Coq8a
E0CZ05	Coq8a Adck3	Coq8a
A0A0A6YXD9	Coq8a Adck3	Coq8a
E0CYD3	Coq8a Adck3	Coq8a
E0CYC1	Coq8a Adck3	Coq8a
F6T0A8	Coq8a Adck3	Coq8a
Q566J8	Coq8b Adck4	Coq8b
E9QLB8	Coq8b Adck4	Coq8b
A0A0R4J1X1	Coq8b Adck4	Coq8b
P09581	Csf1r Csfmr Fms	Csf1r
Q3U1X4	Csf1r	Csf1r
Q3U4N8	Csf1r	Csf1r
Q6NXV8	Csf1r	Csf1r
Q3U210	Csf1r	Csf1r
Q3U1Y3	Csf1r	Csf1r
Q0P635	Csf1r	Csf1r
Q3U3W0	Csf1r	Csf1r
Q3UKC6	Csf1r	Csf1r
Q3TAZ7	Csf1r	Csf1r
Q3TBH6	Csf1r	Csf1r
A0A494BBK8	Csf1r	Csf1r
A0A494BA23	Csf1r	Csf1r
P41241	Csk	Csk
Q3UVH2	Csk	Csk
A0A1L1STA1	Csk	Csk
Q8BIS9	Csk	Csk
A0A1L1SQQ5	Csk	Csk
A0A1L1SR46	Csk	Csk
Q8BK63	Csnk1a1	Csnk1a1
E9PWB2	Csnk1a1	Csnk1a1
Q3U772	Csnk1a1	Csnk1a1
Q6PJ87	Csnk1a1	Csnk1a1
E9Q3W1	Csnk1a1	Csnk1a1
E9Q4G7	Csnk1a1	Csnk1a1
E9Q2U6	Csnk1a1	Csnk1a1
Q3U844	Csnk1a1	Csnk1a1
H7BXB1	Csnk1a1	Csnk1a1
F6YBC9	Csnk1a1	Csnk1a1
Q3TVX1	Csnk1a1	Csnk1a1
Q9DC28	Csnk1d Hckid	Csnk1d
Q3USK2	Csnk1d	Csnk1d
Q3UBT6	Csnk1d	Csnk1d
F7A4U8	Csnk1d	Csnk1d
F6VU53	Csnk1d	Csnk1d
Q9JMK2	Csnk1e	Csnk1e
Q9QUI3	Csnk1e	Csnk1e
A0A2R8VI54	Csnk1e	Csnk1e
Q3TYE1	Csnk1e	Csnk1e
A8Y2Z9	Csnk1e	Csnk1e
A0A2R8W6S2	Csnk1e	Csnk1e
A8Y2Z5	Csnk1e	Csnk1e
A0A2R8VHL1	Csnk1e	Csnk1e
A0A668KLW3	Csnk1e	Csnk1e
A9J9D8	Csnk1e	Csnk1e
Q8BTH8	Csnk1g1	Csnk1g1
A0A0U1RNW0	Csnk1g1	Csnk1g1
A0A0U1RPD7	Csnk1g1	Csnk1g1
A0A0U1RP94	Csnk1g1	Csnk1g1
A0A0U1RPM8	Csnk1g1	Csnk1g1
Q6P2B2	Csnk1g1	Csnk1g1
A0A140LHR2	Csnk1g1	Csnk1g1
D3Z2A2	Csnk1g1	Csnk1g1
A0A0U1RPL1	Csnk1g1	Csnk1g1
A0A0U1RQ81	Csnk1g1	Csnk1g1
A0A140LIJ6	Csnk1g1	Csnk1g1
A0A0U1RNX9	Csnk1g1	Csnk1g1
Q8BVP5	Csnk1g2 Ck1g2	Csnk1g2
Q99JQ5	Csnk1g2	Csnk1g2
Q99K78	Csnk1g2	Csnk1g2
A0A1W2P817	Csnk1g2	Csnk1g2
Q8C4X2	Csnk1g3	Csnk1g3
A0A494BAP2	Csnk1g3	Csnk1g3
A0A494BAN5	Csnk1g3	Csnk1g3
Q60737	Csnk2a1 Ckiia	Csnk2a1
Q61177	Csnk2a1	Csnk2a1
Q8CD20	Csnk2a1	Csnk2a1
Q9D0E8	Csnk2a1	Csnk2a1
A2ANR6	Csnk2a1	Csnk2a1
Q6NSS6	Csnk2a1	Csnk2a1
O54833	Csnk2a2	Csnk2a2
Q545V8	Csnk2a2	Csnk2a2
Q8BPF9	Csnk2a2	Csnk2a2
A0A1D5RLE4	Csnk2a2	Csnk2a2
A0A1D5RM74	Csnk2a2	Csnk2a2
A0A1D5RM55	Csnk2a2	Csnk2a2
A0A1D5RLQ2	Csnk2a2	Csnk2a2
Q8CDH5	Csnk2a2	Csnk2a2
Q80YE7	Dapk1	Dapk1
Q3UKP8	Dapk1	Dapk1
A0A286YDD8	Dapk1	Dapk1
Q8VDF3	Dapk2	Dapk2
E9JGN0	Dapk2 DAPK2	Dapk2
F6YX98	Dapk2	Dapk2
O54784	Dapk3 Zipk	Dapk3
Q05A21	Dapk3	Dapk3
A0A1W2P6J6	Dapk3	Dapk3
A0A1W2P730	Dapk3	Dapk3
A0A1W2P6K3	Dapk3	Dapk3
P43346	Dck	Dck
Q545E8	Dck	Dck
Q80US6	Dck	Dck
Q9JLM8	Dclk1 Dcamkl1 Dclk	Dclk1
A0A0G2JGQ6	Dclk1	Dclk1
A3KN70	Dclk1	Dclk1
Q8CHG1	Dclk1 Dcamkl1 mKIAA0369	Dclk1
A0A0G2JE54	Dclk1	Dclk1
Q8CCN4	Dclk1 Dcamkl1	Dclk1
H7BX36	Dclk1	Dclk1
Q1EDH1	Dclk1 Dcamkl1	Dclk1
Q9JLM6	Dclk1 Cpg16 Dcamkl1	Dclk1
Q8BRN4	Dclk1	Dclk1
Q8VDT3	Dclk1 Dcamkl1	Dclk1
Q9JLM7	Dclk1 Dcamkl1 Dcl	Dclk1
A0A0G2JEN4	Dclk1	Dclk1
Q3UGP0	Dclk1 Dcamkl1	Dclk1
Q80VB6	Dclk1 Dcamkl1	Dclk1
