Mouse_Symbol,Human_Symbol_Manning,Human_Symbol_KinHub,Human_Symbol_Coral,Human_Symbol_Legacy,Description,Group,Family,Subfamily,UniProt_Human,MGI_Mouse,Entrez_Mouse,Source,Date,UniProt_Mouse_biomart,UniProt_Mouse_UniProtAPI,biomart_source,uniprotapi_source
Atr,ATR,ATR,ATR,ATR,Serine/threonine-protein kinase ATR,Atypical,PIKK,ATR,Q13535,MGI:108028,245000,KinHub,10/6/2020,"",Q9CZ52;Q9JKK8;A0A1L1SSL9;E9QPK4;Q3UXJ0;Q3TZM5;Q3UR12;Q3TRL7,,uniprot_api
Aurka,AurA,AurA,AURKA,AurA,Aurora kinase A,Other,Aur,"",O14965,MGI:894678,20878,KinHub,10/6/2020,P97477,P97477;Q3TEY6;Q7TNK2;Q8BP87,biomart,uniprot_api
Aurkb,AurB,AurB,AURKB,AurB,Aurora kinase B,Other,Aur,"",Q96GD4,MGI:107168,20877,KinHub,10/6/2020,O70126,O70126,biomart,uniprot_api
Aurkc,AurC,AurC,AURKC,AurC,Aurora kinase C,Other,Aur,"",Q9UQB9,MGI:1321119,20871,KinHub,10/6/2020,O88445;,O88445;E9QL04;A0A140LIP1;A0A140LJ30;Q497X5,biomart,uniprot_api
Axl,AXL,AXL,AXL,AXL,Tyrosine-protein kinase receptor UFO,TK,Axl,"",P30530,MGI:1347244,26362,KinHub,10/6/2020,Q00993;,Q00993;Q6PE80;Q3TTM4;Q8CCF8;F6YPR4,biomart,uniprot_api
Bckdk,BCKDK,BCKDK,BCKDK,BCKDK,[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase,Atypical,PDHK,"",O14874,MGI:1276121,12041,KinHub,10/6/2020,O55028;,O55028;Q3UCB5;Q3UC13;Q8C6H9;A0A0U1RNL7;A0A0U1RQ50;D3Z7R0;A0A0U1RPT4;A0A0U1RQ97;Q99KP1,biomart,uniprot_api
Bcr,BCR,BCR,BCR,"",Breakpoint cluster region protein,Atypical,BCR,"",P11274,MGI:88141,110279,KinHub,10/6/2020,Q6PAJ1;,Q6PAJ1;A2RRK7;Q61223;A0A1W2P6J3;A3KMF6;A0A571BEM4;Q80UP7;A0A1W2P6I7,biomart,uniprot_api
Blk,BLK,BLK,BLK,BLK,Tyrosine-protein kinase Blk,TK,Src,"",P51451,MGI:88169,12143,KinHub,10/6/2020,P16277,P16277;O70337;Q3TAT8,biomart,uniprot_api
Bmp2k,BIKE,BIKE,BMP2K,BIKE,BMP-2-inducible protein kinase,Other,NAK,"",Q9NSY1,MGI:2155456,140780,KinHub,10/6/2020,Q91Z96,Q91Z96;Q3TP15,biomart,uniprot_api
Bmpr1a,BMPR1A,BMPR1A,BMPR1A,BMPR1A,Bone morphogenetic protein receptor type-1A,TKL,STKR,STKR1,P36894,MGI:1338938,12166,KinHub,10/6/2020,P36895;,P36895;Q53Z43;Q60607;Q3UP52;E9PW65;E9Q2G5,biomart,uniprot_api
Bmpr1b,BMPR1B,BMPR1B,BMPR1B,BMPR1B,Bone morphogenetic protein receptor type-1B,TKL,STKR,STKR1,O00238,MGI:107191,12167,KinHub,10/6/2020,P36898;,P36898;B2RRZ4;Q3USS1;D6RET5,biomart,uniprot_api
Bmpr2,BMPR2,BMPR2,BMPR2,BMPR2,Bone morphogenetic protein receptor type-2,TKL,STKR,STKR2,Q13873,MGI:1095407,12168,KinHub,10/6/2020,O35607,O35607;Q3UER5;Q3UG09;Q3UU71,biomart,uniprot_api
Bmx,BMX,BMX,BMX,BMX,Cytoplasmic tyrosine-protein kinase BMX,TK,Tec,"",P51813,MGI:1101778,12169,KinHub,10/6/2020,;P97504,P97504;B1AUL6;B1AUL5;Q8BNW5,biomart,uniprot_api
Braf,BRAF,BRAF,BRAF,BRAF,Serine/threonine-protein kinase B-raf,TKL,RAF,"",P15056,MGI:88190,109880,KinHub,10/6/2020,P28028;,P28028;A0A7N4FLU7;Q9JJU6;Q9JJU4;Q9JJU5,biomart,uniprot_api
Brsk1,BRSK1,BRSK1,BRSK1,BRSK1,Serine/threonine-protein kinase BRSK1,CAMK,CAMKL,BRSK,Q8TDC3,MGI:2685946,381979,KinHub,10/6/2020,;Q5RJI5,Q5RJI5;D3Z5P0;A0A0U1RP43,biomart,uniprot_api
Brsk2,BRSK2,BRSK2,BRSK2,BRSK2,Serine/threonine-protein kinase BRSK2,CAMK,CAMKL,BRSK,Q8IWQ3,MGI:1923020,75770,KinHub,10/6/2020,Q69Z98;,Q69Z98;G3UWV4;G3FEZ6;G3UXM5;G3UZ19;G3UZ00;G3UYP7;G3UYN4;G3UXY1;G3UZN4;G5E921,biomart,uniprot_api
Btk,BTK,BTK,BTK,BTK,Tyrosine-protein kinase BTK,TK,Tec,"",Q06187,MGI:88216,12229,KinHub,10/6/2020,P35991;,P35991;Q7TMU1;A2BDW0,biomart,uniprot_api
Bub1,BUB1,BUB1,BUB1,BUB1,Mitotic checkpoint serine/threonine-protein kinase BUB1,Other,BUB,"",O43683,MGI:1100510,12235,KinHub,10/6/2020,"",O08901;A0A8I4YXJ8;A2APR8;Q8K1K8;Q8C4D0;Q9CS10,,uniprot_api
Bub1b,BUBR1,BUBR1,BUB1B,BUBR1,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,Other,BUB,"",O60566,MGI:1333889,12236,KinHub,10/6/2020,Q9Z1S0,Q9Z1S0;Q8K2E5;Q3UZD6;Q8C2J4,biomart,uniprot_api
Camk1,CaMK1a,CaMK1a,CAMK1,CaMK1a,Calcium/calmodulin-dependent protein kinase type 1,CAMK,CAMK1,"",Q14012,MGI:1098535,52163,KinHub,10/6/2020,Q91YS8;,Q91YS8;Q3UY68;Q8BJA6;Q3TDH8;D3Z368,biomart,uniprot_api
Camk1d,CaMK1d,CaMK1d,CAMK1D,CaMK1d,Calcium/calmodulin-dependent protein kinase type 1D,CAMK,CAMK1,"",Q8IU85,MGI:2442190,227541,KinHub,10/6/2020,Q8BW96,Q8BW96;B1AW58;Q3TDM2;Q3UH04;Q8R193,biomart,uniprot_api
Camk1g,CaMK1g,CaMK1g,CAMK1G,CaMK1g,Calcium/calmodulin-dependent protein kinase type 1G,CAMK,CAMK1,"",Q96NX5,MGI:2388073,215303,KinHub,10/6/2020,;Q91VB2,Q91VB2;E9Q679;F6YRI7,biomart,uniprot_api
Camk2a,CaMK2a,CaMK2a,CAMK2A,CaMK2a,Calcium/calmodulin-dependent protein kinase type II subunit alpha,CAMK,CAMK2,"",Q9UQM7,MGI:88256,12322,KinHub,10/6/2020,P11798;,P11798;F8WIS9;Q80TN1;F6WHR9;D3Z7K9;F8WHB5,biomart,uniprot_api
Camk2b,CaMK2b,CaMK2b,CAMK2B,CaMK2b,Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK,CAMK2,"",Q13554,MGI:88257,12323,KinHub,10/6/2020,P28652;,P28652;Q5SVI2;Q5SVJ1;Q5SVI0;Q5SVI1;Q68EG2;Q5SVJ0;Q3TY93;Q5SVI3;Q8BL41;Q5SVI9;Q9WVJ1;Q8K4W5;Q8K4W4,biomart,uniprot_api
Camk2d,CaMK2d,CaMK2d,CAMK2D,CaMK2d,Calcium/calmodulin-dependent protein kinase type II subunit delta,CAMK,CAMK2,"",Q13557,MGI:1341265,108058,KinHub,10/6/2020,Q6PHZ2;,P28652;Q6PHZ2;A0A0G2JGS4;E9Q1V9;E9Q1T1;E9Q1W0;Q8CCM0;D6RDQ8;F6RWZ9;Q3V1X9;Q8C4I3;E9QAJ4;E9PXV3;O70459;Q8C8X9,biomart,uniprot_api
Camk2g,CaMK2g,CaMK2g,CAMK2G,CaMK2g,Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma,CAMK,CAMK2,"",Q13555,MGI:88259,12325,KinHub,10/6/2020,Q923T9;,Q923T9;A0A2I3BQP6;Q6ZWS7;A0A286YDK9;Q8BW40;A0A286YCB8;A0A286YCH4;A0A286YCW8;A0A286YDL6;A0A286YCI7,biomart,uniprot_api
Camk4,CaMK4,CaMK4,CAMK4,CaMK4,Calcium/calmodulin-dependent protein kinase type IV,CAMK,CAMK1,"",Q16566,MGI:88258,12326,KinHub,10/6/2020,"",P08414;Q8BGR3;A0A3Q4EG96,,uniprot_api
Camkk1,CaMKK1,CaMKK1,CAMKK1,CaMKK1,Calcium/calmodulin-dependent protein kinase kinase 1,Other,CAMKK,CAMKK-Meta,Q8N5S9,MGI:1891766,55984,KinHub,10/6/2020,Q8VBY2;,Q8VBY2;B1AUD3,biomart,uniprot_api
Camkk2,CaMKK2,CaMKK2,CAMKK2,CaMKK2,Calcium/calmodulin-dependent protein kinase kinase 2,Other,CAMKK,CAMKK-Meta,Q96RR4,MGI:2444812,207565,KinHub,10/6/2020,Q8C078;,Q8C078;A0A0G2JGX0;A0A0G2JET2;Q3TV45;A0A0G2JEC5;A0A0G2JEF4;A0A0G2JFG5,biomart,uniprot_api
Camkv,VACAMKL,VACAMKL,CAMKV,VACAMKL,CaM kinase-like vesicle-associated protein,CAMK,CAMK-Unique,"",Q8NCB2,MGI:2384296,235604,KinHub,10/6/2020,Q3UHL1;,Q3UHL1;A0A0A6YW88;A0A0A6YW08;A0A0A6YXI7,biomart,uniprot_api
Cask,CASK,CASK,CASK,CASK,Peripheral plasma membrane protein CASK,CAMK,CASK,"",O14936,MGI:1309489,12361,KinHub,10/6/2020,O70589;,O70589;B7ZP42;A0A067XG53;B9EJ23;B1AUH6;F6ZQR2;B1AUH5;Q91VJ0;F6Y9I5;Q3TNZ0;F7CD87,biomart,uniprot_api
Cdc42bpa,MRCKa,MRCKa,CDC42BPA,MRCKa,Serine/threonine-protein kinase MRCK alpha,AGC,DMPK,GEK,Q5VT25,MGI:2441841,226751,KinHub,10/6/2020,;Q3UU96,Q3UU96;E9PVY0;H7BX44;B2RXX8;D3YYN8;A0A1D5RLQ9;F6W0C2;F6S5Z6;F6YZJ7;F6Q5A5;Q3TSA3;A0A0A6YXJ5,biomart,uniprot_api
Cdc42bpb,MRCKb,MRCKb,CDC42BPB,MRCKb,Serine/threonine-protein kinase MRCK beta,AGC,DMPK,GEK,Q9Y5S2,MGI:2136459,217866,KinHub,10/6/2020,Q7TT50;,Q7TT50;B2RQQ7;A0A1Y7VKD5;A0A1Y7VM95;A0A1Y7VLI0,biomart,uniprot_api
Cdc42bpg,DMPK2,DMPK2,CDC42BPG,DMPK2,Serine/threonine-protein kinase MRCK gamma,AGC,DMPK,GEK,Q6DT37,MGI:2652845,240505,KinHub,10/6/2020,Q80UW5,Q80UW5;Q3V0F4,biomart,uniprot_api
Cdc7,CDC7,CDC7,CDC7,CDC7,Cell division cycle 7-related protein kinase,Other,CDC7,"",O00311,MGI:1309511,12545,KinHub,10/6/2020,Q9Z0H0;,Q9Z0H0;Q66JY4;Q9Z2Y5;Q9Z2Y6;G3UVV7;Q9CSF4;Q3TQ50,biomart,uniprot_api
Cdk1,CDC2,CDC2,CDK1,CDC2,Cyclin-dependent kinase 1,CMGC,CDK,CDC2,P06493,MGI:88351,12534,KinHub,10/6/2020,P11440;,P11440;D3Z2T9;Q99JW7,biomart,uniprot_api
Cdk10,CDK10,CDK10,CDK10,CDK10,Cyclin-dependent kinase 10,CMGC,CDK,CDK10,Q15131,MGI:2448549,234854,KinHub,10/6/2020,Q3UMM4;,Q3UMM4;Q0VH02;A0A1D5RLN0;A0A1D5RLN1;A0A1D5RLY3;A0A1D5RM75,biomart,uniprot_api
Cdk11b,PITSLRE,PITSLRE,CDK11B,PITSLRE,Cyclin-dependent kinase 11B,CMGC,CDK,CDK11,P21127,MGI:88353,12537,KinHub,10/6/2020,P24788;,P24788;A2A9P6;Q8R190;Q9CVG6;Q3UXP3,biomart,uniprot_api
Cdk12,CRK7,CRK7,CDK12,CRK7,Cyclin-dependent kinase 12,CMGC,CDK,CRK7,Q9NYV4,MGI:1098802,69131,KinHub,10/6/2020,Q14AX6,Q14AX6;Q3TNY6;Q9CVL4,biomart,uniprot_api
Cdk13,CHED,CHED,CDK13,CHED,Cyclin-dependent kinase 13,CMGC,CDK,CRK7,Q14004,MGI:1916812,69562,KinHub,10/6/2020,Q69ZA1;,Q69ZA1;A0A1Y7VLM0;Q8BJK2;Q3UF50;A0A1Y7VNQ1,biomart,uniprot_api
Cdk14,PFTAIRE1,PFTAIRE1,CDK14,PFTAIRE1,Cyclin-dependent kinase 14,CMGC,CDK,PFTAIRE,O94921,MGI:894318,18647,KinHub,10/6/2020,O35495;,O35495;Q8BN81;Q8C411;Q8BFX6;Q6NVF8;E9PVC7;Q8BQ67;D3YV23;E9Q9M2;Q9D4N7,biomart,uniprot_api
Cdk15,PFTAIRE2,PFTAIRE2,CDK15,PFTAIRE2,Cyclin-dependent kinase 15,CMGC,CDK,PFTAIRE,Q96Q40,MGI:3583944,271697,KinHub,10/6/2020,;Q3V3A1,Q3V3A1;E3W997,biomart,uniprot_api
Cdk16,PCTAIRE1,PCTAIRE1,CDK16,PCTAIRE1,Cyclin-dependent kinase 16,CMGC,CDK,PCTAIRE,Q00536,MGI:97516,18555,KinHub,10/6/2020,Q04735,Q04735;Q543G3;Q3TM24;Q3UPI3;Q91WP4,biomart,uniprot_api
Cdk17,PCTAIRE2,PCTAIRE2,CDK17,PCTAIRE2,Cyclin-dependent kinase 17,CMGC,CDK,PCTAIRE,Q00537,MGI:97517,237459,KinHub,10/6/2020,Q8K0D0;,Q8K0D0;Q8C5H7;A0A1L1SUS7;I6L9D3;A0A1L1SR36;C7C6B5;C7C6B6;A0A1L1SSL3;A0A1L1SUA6,biomart,uniprot_api
Cdk18,PCTAIRE3,PCTAIRE3,CDK18,PCTAIRE3,Cyclin-dependent kinase 18,CMGC,CDK,PCTAIRE,Q07002,MGI:97518,18557,KinHub,10/6/2020,Q04899;,Q04899;Q0VDL6;A0A087WQ42;Q0VDL5,biomart,uniprot_api
Cdk19,CDK11,CDK11,CDK19,CDK11,Cyclin-dependent kinase 19,CMGC,CDK,CDK8,Q9BWU1,MGI:1925584,78334,KinHub,10/6/2020,Q8BWD8;,Q8BWD8;B7ZMT1;Q8BKC7;G5E8L1;A0A1L1SRF1;Q8C0N8;Q8K2R6;A0A1L1SSW8,biomart,uniprot_api
Cdk2,CDK2,CDK2,CDK2,CDK2,Cyclin-dependent kinase 2,CMGC,CDK,CDK2,P24941,MGI:104772,12566,KinHub,10/6/2020,P97377,P97377;Q3U6X7;Q3U307;Q3UGB9,biomart,uniprot_api
Cdk20,CCRK,CCRK,CDK20,CCRK,Cyclin-dependent kinase 20,CMGC,CDK,"",Q8IZL9,MGI:2145349,105278,KinHub,10/6/2020,Q9JHU3;,Q9JHU3;A0A1Y7VNS6;A0A1Y7VIW8;A0A1Y7VKB8;A0A1Y7VJE1;A0A1Y7VJN2,biomart,uniprot_api
Cdk3,CDK3,CDK3,CDK3,CDK3,Cyclin-dependent kinase 3,CMGC,CDK,CDK2,Q00526,MGI:1916931,69681,KinHub,10/6/2020,"",Q80YP0,,uniprot_api
Cdk4,CDK4,CDK4,CDK4,CDK4,Cyclin-dependent kinase 4,CMGC,CDK,CDK4,P11802,MGI:88357,12567,KinHub,10/6/2020,P30285;,P30285;Q545C3;D3YWB0;E9Q9E4;D6RHS5;E9PZX7;Q9D193;Q8BP21;Q9CYR7;Q9JKW8;Q9CSQ6,biomart,uniprot_api
Cdk5,CDK5,CDK5,CDK5,CDK5,Cyclin-dependent kinase 5,CMGC,CDK,CDK5,Q00535,MGI:101765,12568,KinHub,10/6/2020,P49615;,P49615;Q543F6;A0A0G2JDL3,biomart,uniprot_api
Cdk6,CDK6,CDK6,CDK6,CDK6,Cyclin-dependent kinase 6,CMGC,CDK,CDK4,Q00534,MGI:1277162,12571,KinHub,10/6/2020,;Q64261,Q64261;Q0VBK8;Q3U4J9;A0A0G2JGA8;A0A0G2JEJ6;A0A0G2JGH2,biomart,uniprot_api
Cdk7,CDK7,CDK7,CDK7,CDK7,Cyclin-dependent kinase 7,CMGC,CDK,CDK7,P50613,MGI:102956,12572,KinHub,10/6/2020,Q03147;,Q03147;A0A286YDC0;Q3THG5;Q8CAC4;Q3UJT4,biomart,uniprot_api
Cdk8,CDK8,CDK8,CDK8,CDK8,Cyclin-dependent kinase 8,CMGC,CDK,CDK8,P49336,MGI:1196224,264064,KinHub,10/6/2020,;Q8R3L8,Q8R3L8;E0CYC4;E9Q6E2;E0CY29;E0CZC3;Q5U427,biomart,uniprot_api
Cdk9,CDK9,CDK9,CDK9,CDK9,Cyclin-dependent kinase 9,CMGC,CDK,CDK9,P50750,MGI:1328368,107951,KinHub,10/6/2020,Q99J95;,Q99J95;B0R021;D6RGN3;D6RHP4,biomart,uniprot_api
Cdkl1,CDKL1,CDKL1,CDKL1,CDKL1,Cyclin-dependent kinase-like 1,CMGC,CDKL,"",Q00532,MGI:1918341,71091,KinHub,10/6/2020,Q8CEQ0;,Q8CEQ0;Q14BG3,biomart,uniprot_api
Cdkl2,CDKL2,CDKL2,CDKL2,CDKL2,Cyclin-dependent kinase-like 2,CMGC,CDKL,"",Q92772,MGI:1858227,53886,KinHub,10/6/2020,Q9QUK0;,Q9QUK0;Q149A0;A0A0J9YU22,biomart,uniprot_api
Cdkl3,CDKL3,CDKL3,CDKL3,CDKL3,Cyclin-dependent kinase-like 3,CMGC,CDKL,"",Q8IVW4,MGI:2388268,213084,KinHub,10/6/2020,Q8BLF2;,Q8BLF2;B1AU42;B1AU43;F2Z3Z6;F6RUB4;A0A140LJ75;F6ULF3;F6RX76;F6Y3R0;F6RBI5,biomart,uniprot_api
Cdkl4,CDKL4,CDKL4,CDKL4,CDKL4,Cyclin-dependent kinase-like 4,CMGC,CDKL,"",Q5MAI5,MGI:3587025,381113,KinHub,10/6/2020,Q3TZA2,Q3TZA2,biomart,uniprot_api
Cdkl5,CDKL5,CDKL5,CDKL5,CDKL5,Cyclin-dependent kinase-like 5,CMGC,CDKL,"",O76039,MGI:1278336,382253,KinHub,10/6/2020,;Q3UTQ8,Q3UTQ8;A0A0G2JGW6;A0A0G2JF79;A0A0G2JFE2,biomart,uniprot_api
Chek1,CHK1,CHK1,CHEK1,CHK1,Serine/threonine-protein kinase Chk1,CAMK,CAMKL,CHK1,O14757,MGI:1202065,12649,KinHub,10/6/2020,O35280;,O35280;Q497T8;G3UYC5;G3UX84,biomart,uniprot_api
Chek2,CHK2,CHK2,CHEK2,CHK2,Serine/threonine-protein kinase Chk2,CAMK,RAD53,"",O96017,MGI:1355321,50883,KinHub,10/6/2020,;Q9Z265,Q9Z265;Q543W6;A0A0G2JDS0;A0A0G2JDU5;A0A0G2JGG6,biomart,uniprot_api
Chka,"","",CHKA,"",choline kinase alpha,Metabolic,"","","",MGI:107760,12660,MGI,10/6/2020,;O54804,O54804;Q99KD4;F6S062;Q3TLJ9;Q3TL82;D6RG40;F7AYX1;Q5J2U5,biomart,uniprot_api
Chkb,"","",CHKB,"",choline kinase beta,Metabolic,"","","",MGI:1328313,12651,MGI,10/6/2020,O55229;,O55229;Q54AG5;F6RRT7;F6SKI6;Q6NVC1,biomart,uniprot_api
Chuk,IKKa,IKKa,CHUK,IKKa,Inhibitor of nuclear factor kappa-B kinase subunit alpha,Other,IKK,"",O15111,MGI:99484,12675,KinHub,10/6/2020,"",Q60680;E9QNL4;E9Q605;Q3U2A3;Q3U2E5;Q8CBT3;Q3TPN9;Q3UDK0;A0AUV3,,uniprot_api
Cilk1,ICK,ICK,ICK,ICK,Serine/threonine-protein kinase ICK,CMGC,RCK,"",Q9UPZ9,MGI:1934157,56542,KinHub,10/6/2020,Q9JKV2;,Q9JKV2;Q3U4K6;Q3UZZ3;Q3V314;Q69ZV0;D3YZV1;Q9D7Q7,biomart,uniprot_api
Cit,CRIK,CRIK,CIT,CRIK,Citron Rho-interacting kinase,AGC,DMPK,"",O14578,MGI:105313,12704,KinHub,10/6/2020,"",P49025;D3YU89;E9QL53;D3Z1U0;F6SBR5;D3Z477;D3Z1K6;H3BJ74,,uniprot_api
Clk1,CLK1,CLK1,CLK1,CLK1,Dual specificity protein kinase CLK1,CMGC,CLK,"",P49759,MGI:107403,12747,KinHub,10/6/2020,P22518,P22518;Q3UKA7,biomart,uniprot_api
